timestamp,open,high,low,close,adjusted close,volume,dividend amount
20/08/2024,192.81,196.21,181.81,196.03,196.03,43012646,1.67
31/07/2024,173.45,196.26,173.38,192.14,190.4785,81258646,0
28/06/2024,166.54,178.4599,163.53,172.95,171.4544,70706301,0
31/05/2024,165.69,175.46,162.62,166.85,165.4072,78620355,1.67
30/04/2024,190,193.28,165.2605,166.2,163.1244,98297181,0
28/03/2024,185.49,199.18,185.18,190.96,187.4262,99921776,0
29/02/2024,183.63,188.95,178.75,185.03,181.6059,88679550,1.66
31/01/2024,162.83,196.9,157.885,183.66,178.6527,128121557,0
29/12/2023,158.41,166.34,158,163.55,159.0909,87358302,0
30/11/2023,145,158.6,144.45,158.56,154.237,78460252,1.66
31/10/2023,140.04,144.76,135.87,144.64,139.1214,94386980,0
29/09/2023,147.26,151.9299,139.61,140.3,134.947,82806487,0
31/08/2023,144.25,147.7275,139.76,146.83,141.2279,84274205,1.66
31/07/2023,133.42,144.605,131.55,144.18,137.082,85778938,0
30/06/2023,128.44,139.469,127.78,133.81,127.2225,100722016,0
31/05/2023,126.35,130.0699,120.55,128.59,122.2595,95710890,1.66
28/04/2023,130.97,132.61,124.56,126.41,118.5625,83664114,0
31/03/2023,128.9,131.48,121.71,131.09,122.952,138093084,0
28/02/2023,134.49,137.39,128.86,129.3,121.2731,76080679,1.65
31/01/2023,141.1,147.18,132.98,134.73,124.8261,105576019,0
30/12/2022,149.98,153.21,137.195,140.89,130.5333,86426226,0
30/11/2022,138.25,150.46,133.97,148.9,137.9545,93620235,1.65
31/10/2022,120.16,138.8615,115.545,138.29,126.6039,113480787,0
30/09/2022,128.4,130.99,118.61,118.81,108.7701,87256958,0
31/08/2022,130.75,139.34,128.4,128.45,117.5955,77392342,1.65
29/07/2022,141,141.87,125.13,130.79,118.231,129801061,0
30/06/2022,139.67,144.73,132.85,141.19,127.6323,105815743,0
31/05/2022,133,139.83,125.8,138.84,125.508,113207659,1.65
29/04/2022,129.66,141.88,124.91,132.21,118.0656,107525264,0
31/03/2022,122.67,133.08,120.7,130.02,116.1099,96447210,0
28/02/2022,133.76,138.82,118.81,122.51,109.4033,98492968,1.64
31/01/2022,134.07,142.2,124.193,133.57,117.8327,147238382,0
31/12/2021,118.25,134.99,116.56,133.66,117.9121,113930079,0
30/11/2021,125.05,127.29,114.56,117.1,103.3032,119252012,1.64
29/10/2021,141,146,124.62,125.1,104.0947,144097758,0
30/09/2021,139.98,140.57,132.78,138.93,115.6026,76644238,0
31/08/2021,141.45,144.7,137.21,140.34,116.7758,69687056,1.64
30/07/2021,146.96,147.5,136.2089,140.96,115.9455,110625907,0
30/06/2021,145,152.84,143.04,146.59,120.5764,84365220,0
28/05/2021,143.81,148.515,140.92,143.74,118.2322,98036425,1.64
30/04/2021,133.76,148.74,130.38,141.88,115.4011,122920494,0
31/03/2021,120.35,137.07,118.755,133.26,108.3899,127967821,0
26/02/2021,119.9,124.35,118.12,118.93,96.7343,106339228,1.63
29/01/2021,125.85,132.24,117.36,119.11,95.6044,176168962,0
31/12/2020,123.9,127.69,121.72,125.88,101.0384,102587006,0
30/11/2020,112.65,125.313,111.16,123.52,99.1441,103461100,1.63
30/10/2020,122.36,135.5,105.92,111.66,88.3777,159130911,0
30/09/2020,122.85,129.95,116.48,121.67,96.3005,84510174,0
31/08/2020,123.5,130.47,122.15,123.31,97.5985,74033007,1.63
31/07/2020,120.27,132.17,115.2,122.94,96.0528,113972765,0
30/06/2020,124.64,135.88,115.88,120.77,94.3573,120931250,0
29/05/2020,123.19,126.97,111.81,124.9,97.5841,92864791,1.63
30/04/2020,106.36,129.31,104.52,125.56,96.7983,130400316,0
31/03/2020,130.75,136.1,90.56,110.93,85.5195,189585053,0
28/02/2020,144.25,158.75,126.36,130.15,100.3368,118092333,1.62
31/01/2020,135,145.79,133.2,143.73,109.6482,112864967,0
31/12/2019,134.45,136.42,130.69,134.04,102.2559,71661951,0
29/11/2019,134.5,139.14,132.75,134.45,102.5687,64898948,1.62
31/10/2019,145.59,147.35,130.9,133.73,100.8331,92647927,0
30/09/2019,134.85,146.57,133.33,145.42,109.6474,62083780,0
30/08/2019,148.9,152.95,128.83,135.53,102.1903,96719129,1.62
31/07/2019,139.6,151.94,139.13,148.24,110.496,80175943,0
28/06/2019,127.1,140.15,127.06,137.9,102.7887,61342985,0
31/05/2019,140.55,141.81,126.85,126.99,94.6566,75537897,1.62
30/04/2019,141.51,145.39,136.26,140.27,103.3186,80199229,0
29/03/2019,139.31,142.12,133.58,141.1,103.9299,74688899,0
28/02/2019,134.97,140.49,132.12,138.13,101.7423,68462024,1.57
31/01/2019,112.01,135.41,111.69,134.42,97.8562,120388583,0
31/12/2018,125.67,126.59,105.94,113.67,82.7504,115600988,0
30/11/2018,115.5,125.06,114.54,124.27,90.4671,141719180,1.57
31/10/2018,151.71,154.36,114.09,115.43,82.9758,198093801,0
28/09/2018,145.98,153.35,144.81,151.21,108.6959,95868702,0
31/08/2018,144.76,147.93,142,146.48,105.2958,79196876,1.57
31/07/2018,138.28,150.54,138.2,144.93,103.0639,95015127,0
29/06/2018,142.43,147.52,137.45,139.7,99.3447,90243111,0
31/05/2018,144.65,146.2,139.9,141.31,100.4896,88812832,1.57
30/04/2018,153.34,162,144.11,144.96,101.9627,122893135,0
29/03/2018,155.53,162.11,148.54,153.43,107.9204,92113147,0
28/02/2018,163.19,164.13,144.4,155.83,109.6085,100673819,1.5
31/01/2018,154.5,171.13,153.54,163.7,113.9857,140197975,0
29/12/2017,154.4,157.85,151.49,153.42,106.8276,87525752,0
30/11/2017,154.1,154.9,146.211,153.97,107.2106,89208545,1.5
31/10/2017,145.35,162.51,145.21,154.06,106.2133,121490046,0
29/09/2017,142.98,147.42,141.64,145.08,100.0222,77056229,0
31/08/2017,145,145.67,139.13,143.03,98.6089,79260314,1.5
31/07/2017,153.58,156.025,143.64,144.67,98.6978,91242021,0
30/06/2017,152.8,157.2,150.8,153.83,104.947,82652760,0
31/05/2017,160.05,160.42,149.79,152.63,104.1283,102455942,1.5
28/04/2017,173.82,176.33,159.6,160.29,108.2927,80758989,0
31/03/2017,180.48,182.55,172.0937,174.14,117.6498,79476385,0
28/02/2017,175,182.79,172.89,179.82,121.4872,59817600,1.4
31/01/2017,167,179.25,165.34,174.52,116.9769,88671370,0
30/12/2016,161.95,169.952,158.3,165.99,111.2595,69463793,0
30/11/2016,153.5,164.66,151,162.22,108.7325,76340912,1.4
31/10/2016,158.06,158.53,147.79,153.69,102.0939,78325840,0
30/09/2016,158.32,165,153.21,158.85,105.5216,69951563,0
31/08/2016,160.65,164.95,157.85,158.88,105.5415,69680582,1.4
29/07/2016,152.19,163.6,149.92,160.62,105.7834,69930927,0
30/06/2016,153,155.48,142.5,151.78,99.9615,77115961,0
31/05/2016,146.56,153.81,142.9,153.74,101.2523,75248178,1.4
29/04/2016,150.51,153.52,142.61,145.94,95.2103,94431134,0
31/03/2016,132.24,153.1,132.03,151.45,98.805,105698603,0
29/02/2016,124.4,134.92,116.901,131.03,85.4831,106703104,1.3
29/01/2016,135.6,136.89,118,124.79,80.5871,126204196,0
31/12/2015,139.58,141.4,133.91,137.62,88.8725,97650594,0
30/11/2015,140.5,142.8,131.65,139.42,90.0349,85421426,1.3
30/10/2015,145.31,153.147,137.33,140.08,89.6184,120622363,0
30/09/2015,144.84,149.68,141.1501,144.97,92.7469,81761648,0
31/08/2015,161.7,161.85,140.62,147.89,94.615,93750967,1.3
31/07/2015,163.97,173.78,158.5,161.99,102.781,93805392,0
30/06/2015,170.21,171.5601,162.12,162.66,103.2061,80845501,0
29/05/2015,173.2,176.3,168.84,169.65,107.6412,57916093,1.3
30/04/2015,160.23,175.1303,158.39,171.29,107.8572,93821213,0
31/03/2015,161.68,165.35,153.4,160.5,101.063,104899758,0
27/02/2015,154,164.99,151.51,161.94,101.9697,77654705,1.1
30/01/2015,161.31,163.31,149.52,153.31,95.8627,117395861,0
31/12/2014,161.64,164.52,150.5,160.44,100.321,101614529,0
28/11/2014,164.25,164.97,159.8,162.17,101.4028,80018581,1.1
31/10/2014,189.91,190.89,161.1,164.4,102.1016,146272610,0
30/09/2014,192.68,195,188.12,189.83,117.895,64033759,0
29/08/2014,190.5,194.133,183.58,192.3,119.429,53441600,1.1
31/07/2014,181.7,196.4,181.7,191.67,118.3378,97597800,0
30/06/2014,184.76,187.65,179.27,181.27,111.9168,78501700,0
30/05/2014,196.31,196.74,182.33,184.36,113.8246,70018300,1.1
30/04/2014,193.12,199.21,187.01,196.47,120.6006,118447100,0
31/03/2014,183.33,195.63,182.21,192.49,118.1575,118984000,0
28/02/2014,176.02,186.12,172.19,185.17,113.6642,87054800,0.95
31/01/2014,187.21,190.81,175.34,176.68,107.8661,123489300,0
